Position Players,,,,40,A,NTC,2022,2023,2024,2025,2026,2027,Length
"Franco, Wander",,,,,3,,$5 ,$5 ,,,,,2
"Story, Trevor",,,,1,3,,$25 ,$25 ,,,,,2
"Mathis, Jeff",,,,1,3,,$1 ,$1 ,,,,,2
"Pederson, Joc",,,,1,3,,$1 ,$1 ,,,,,2
"Gardner, Brett",,,,1,3,,$1 ,$1 ,,,,,2
"Alonso, Peter",,,,1,3,,$1 ,,,,,,1
"Bour, Justin",,,,1,3,,$1 ,,,,,,1
"Trout, Mike",,,,1,TA,,$72 ,,,,,,1
"Murphy, Sean",,,,1,TB,,$1 ,,,,,,1
"Guzman, Ronald",,,,1,3,,$1 ,,,,,,1
"Panik, Joe",,,,1,3,,$1 ,,,,,,1
"Gyorko, Jed",,,,1,B,,$13 ,,,,,,1
Pitchers,,,,40,A,NTC,2022,2023,2024,2025,2026,2027,Length
"Soria, Joakim",,,,1,A,,$1 ,$1 ,$1 ,,,,3
"Cashner, Andrew",,,,1,3,,$1 ,$1 ,,,,,2
"Lamet, Dinelson",,,,1,3,,$3 ,$3 ,,,,,2
"Kahnle, Tommy",,,,1,3,,$1 ,$1 ,,,,,2
"Martin, Chris",,,,1,B,,$4 ,$4 ,,,,,2
"Glasnow, Tyler",,,,1,B,,$7 ,,,,,,1
"Ramirez, Erasmo",,,,1,3,,$29 ,,,,,,1
"Fiers, Mike",,,,1,3,,$1 ,,,,,,1
"Brasier, Ryan",,,,1,3,,$1 ,,,,,,1
"Parker, Blake",,,,1,3,,$1 ,,,,,,1
"Castano, Daniel",,,,1,3,,$1 ,,,,,,1
"Alcala, Jorge",,,,1,3,,$1 ,,,,,,1
"Minter, A.J.",,,,1,3,,$1 ,,,,,,1
"Weems, Jordan",,,,1,3,,$1 ,,,,,,1
